popularity,budget,cast,release_date,voteScore,revenue
2.440611,18000000,45,4,9870,35692920
2.332359,8000000,48,1,7818,74952305
2.245241,155000000,20,2,5430,415686217
2.225609,28000000,82,3,21595,96188903
2.162441,100000000,83,4,6504,278346189
2.128799,150000000,63,5,9270,335154643
2.11831,200000000,72,5,5064,310669540
2.100704,38000000,89,4,7588,252276927
2.087252,125000000,71,3,7650,232713139
2.053855,150000000,78,5,4355,215283742
1.923694,40000000,37,1,14154,224920315
1.906739,60000000,43,5,8806,47664559
1.903671,100000000,144,4,3585,310650585
1.888263,40000000,47,5,3610,126248813
1.878018,95000000,37,2,7050,226497209
1.874641,100000000,68,4,4398,167805466
1.820934,165000000,109,5,7146,752600867
1.784073,25000000,52,2,4422,114977104
1.730679,110000000,80,5,6972,177238796
1.720825,58000000,101,1,12384,71664962
1.71986,20000000,95,1,4518,31327899
1.659355,80000000,84,5,6864,271430189
1.624483,80000000,85,2,9036,157107755
1.618371,55000000,67,3,3905,152263880
1.614028,37000000,59,1,5580,154026136
1.546212,68000000,45,5,6655,698491347
1.540322,130000000,85,1,7140,321885765
1.538276,150000000,12,5,2928,318502923
1.419224,100000000,132,2,5706,170432927
1.396973,1500000,35,1,5994,97009150
1.386743,30000000,6,2,2190,159291809
1.385499,15000000,74,1,11816,414211549
1.365279,30000000,74,4,4536,102820008
1.36053,30000000,61,1,1476,20348249
1.348633,32000000,62,3,2250,18409891
1.344701,7000000,49,5,900,7644937
1.325302,117000000,89,5,5225,261930431
1.271623,60000000,85,2,2035,204594016
1.271367,1000000,29,4,3180,12355734
1.255298,40000000,49,3,2765,136000000
1.2347,19000000,51,2,1698,29922472
1.206958,100000000,84,3,2670,94882889
1.203837,112000000,58,4,1875,237382724
1.202845,35000000,42,3,1450,77477008
1.166631,44000000,35,5,1944,48190704
1.147365,19000000,69,5,1940,49830607
1.14644,10000000,40,3,798,2995811
1.145806,52000000,58,2,3375,216485654
1.138389,25000000,44,4,930,36993168
1.134397,20000000,34,1,1985,136150434
1.125831,40000000,27,5,6114,357852395
1.119731,65000000,72,4,6090,211780824
1.111487,8000000,46,5,606,3453043
1.107689,52000000,38,2,2592,52615806
1.107358,45000000,77,2,2142,60222298
1.084894,8000000,32,5,2184,6491240
1.078211,30000000,50,4,3420,51148651
1.074308,35000000,17,3,2115,115664037
1.065023,25000000,54,3,1788,23580000
1.054685,25000000,76,4,6755,9190869
1.047978,40000000,44,5,1795,90029656
1.023117,47000000,67,5,1008,10539000
1.004446,20000000,13,2,708,80547866
1.003782,2000000,44,1,1197,7871522
0.997641,75000000,38,5,2650,98159963
0.992107,26000000,48,2,1880,67918658
0.984762,100000000,31,5,1375,288347692
0.982925,20000000,38,1,1278,32005248
0.981468,35000000,70,3,1368,93246388
0.944055,36000000,41,3,2750,64572262
0.919635,20000000,37,1,2118,24145613
0.918093,14000000,26,2,1813,1755212
0.914278,80000000,25,5,2826,140073390
0.912689,32000000,46,2,1488,69055695
0.912122,55000000,20,4,2046,89519773
0.892356,15000000,101,1,798,4882577
0.878529,32000000,66,1,1032,42045846
0.878074,24000000,67,4,2160,23081726
0.875432,3000000,8,1,2105,177512032
0.856916,15000000,41,1,2484,9455232
0.856222,20000000,32,2,1450,65464324
0.839107,30000000,70,2,1550,55583804
0.827664,500000,9,5,1968,4242978
0.82289,38000000,38,1,3096,105610124
0.804348,12000000,39,2,990,6814789
0.802711,3200000,60,1,1224,5332926
0.794885,22000000,51,3,560,851517
0.791799,22000000,94,1,388,9479718
0.789582,15000000,35,3,950,75700498
0.788144,2000000,7,5,1614,572809
0.78688,24000000,30,2,1530,83188165
0.77844,40000000,88,2,1476,58785180
0.773316,12500000,31,1,609,6732980
0.764791,90000000,33,4,140,16178959
0.761889,1800000,7,2,895,67738090
0.756229,48000000,47,2,1410,112462508
0.754168,22000000,62,5,774,24188922
0.745434,10000000,23,1,830,498974
0.740867,1987650,28,1,2748,19152480
0.73988,69000000,57,5,1620,86387857
0.68633,4000000,86,5,1680,34705850
0.671484,10000000,12,4,1216,66821036
0.670027,20000000,65,3,882,45636368
0.659749,2000000,21,5,1734,13831503
0.655955,7000000,33,2,165,46488
0.655878,85000000,58,5,300,112483764
0.64929,10000000,51,5,475,6110000
0.640576,120000000,93,4,544,48668907
0.619772,500000,7,5,700,98017
0.618078,28000000,27,2,1050,45236543
0.61643,20000000,20,3,1590,49779728
0.602854,12000000,58,2,245,204940
0.599676,25000000,59,4,755,4644108
0.598275,50000000,46,1,1395,105197635
