popularity,budget,cast,release_date,voteScore,revenue,runtime,release_year,genres
0.880938,6000000,0,2,2472,11122090,96.0,2015.0,"['Drama', 'Music', 'Romance']"
0.832487,10000000,3,2,1176,85978266,122.0,2015.0,"['Drama', 'Comedy']"
0.829111,20000000,0,3,791,6420319,106.0,2015.0,"['Comedy', 'Drama', 'War']"
0.814206,37000000,1,5,2345,26250020,105.0,2015.0,"['Adventure', 'Comedy', 'Romance']"
0.795762,28000000,1,1,610,7002261,108.0,2015.0,"['Drama', 'Comedy']"
0.706023,7000000,1,1,602,573335,103.0,2015.0,"['Romance', 'Drama']"
0.699932,3000000,0,5,1228,695269,134.0,2015.0,"['Drama', 'Romance']"
0.69957,9600000,2,1,534,2541554,121.0,2015.0,['Drama']
0.690479,10000000,2,3,684,10835752,107.0,2015.0,"['Comedy', 'Drama', 'Music']"
0.689579,15000000,0,1,280,3020664,100.0,2015.0,"['Comedy', 'Music', 'War']"
0.673792,1000000,2,4,522,14444999,95.0,2015.0,"['Comedy', 'Drama', 'Romance']"
0.669351,13000000,0,5,656,1784763,91.0,2015.0,"['Thriller', 'Horror']"
0.661471,8000000,0,1,726,1411927,112.0,2015.0,['Drama']
0.661163,14000000,0,2,1220,12314651,93.0,2015.0,['Comedy']
0.654046,4000000,2,5,175,143101,97.0,2015.0,['Drama']
0.602165,8000000,1,1,855,35991087,104.0,2015.0,"['Drama', 'Adventure', 'Comedy']"
0.599655,3300000,0,2,1308,64110728,83.0,2015.0,"['Thriller', 'Horror']"
0.577814,35000000,0,3,964,14431253,90.0,2015.0,['Comedy']
0.570744,2000000,0,3,645,45431,95.0,2015.0,"['Fantasy', 'Thriller']"
0.532205,100000,0,5,1235,42664410,87.0,2015.0,"['Horror', 'Thriller']"
0.524315,10000000,1,4,410,3334927,122.0,2015.0,"['Drama', 'Romance']"
0.46209,9000000,1,2,432,21571189,121.0,2015.0,['Drama']
0.450872,13000000,0,1,95,1646788,123.0,2015.0,"['Drama', 'Music']"
0.435582,5000000,0,1,345,2333684,119.0,2015.0,"['Drama', 'Music', 'Adventure', 'Fantasy']"
0.424813,6000000,0,1,2142,90777,137.0,2015.0,"['Drama', 'War']"
0.414913,3000000,0,2,455,3387000,83.0,2015.0,"['Thriller', 'Horror']"
0.402236,447524,0,5,188,771317,101.0,2015.0,"['Drama', 'Comedy']"
0.365901,10000000,1,5,240,17472,111.0,2015.0,"['Drama', 'Thriller']"
0.336107,2000000,0,1,275,2801508,97.0,2015.0,"['Crime', 'Drama', 'Thriller']"
0.298751,5000000,0,1,120,4842699,121.0,2015.0,['Drama']
0.259794,600000,1,5,405,7087452,78.0,2015.0,"['Drama', 'Comedy']"
0.731022,3000000,0,2,342,67790117,120.0,2015.0,['Drama']
0.076109,13500000,0,1,70,187674,129.0,2015.0,['Drama']
24.949134,165000000,5,4,51984,621752480,169.0,2014.0,"['Adventure', 'Drama', 'Science Fiction']"
14.311205,170000000,0,5,39284,773312399,121.0,2014.0,"['Action', 'Science Fiction', 'Adventure']"
12.971027,170000000,0,3,26936,714766572,136.0,2014.0,"['Action', 'Adventure', 'Science Fiction']"
11.422751,20000000,0,1,18984,78739897,101.0,2014.0,"['Action', 'Thriller']"
10.739009,125000000,1,4,21540,752100229,123.0,2014.0,"['Science Fiction', 'Adventure', 'Thriller']"
10.174599,250000000,0,4,21770,955119788,144.0,2014.0,"['Adventure', 'Fantasy']"
8.691294,165000000,0,1,29295,652105443,102.0,2014.0,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
8.110711,14000000,0,4,27824,233555708,113.0,2014.0,"['History', 'Drama', 'Thriller', 'War']"
7.137273,34000000,0,1,23975,348319861,113.0,2014.0,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
6.907148,18000000,1,1,19607,103215094,119.0,2014.0,"['Drama', 'Comedy']"
6.438727,61000000,0,1,26040,369330363,145.0,2014.0,"['Mystery', 'Thriller', 'Drama']"
6.415818,68000000,0,1,18004,211817906,135.0,2014.0,"['War', 'Drama', 'Action']"
6.286692,127000000,1,4,6666,349424282,97.0,2014.0,"['Adventure', 'Comedy', 'Fantasy', 'Family']"
6.14502,85000000,1,3,18228,288747895,139.0,2014.0,"['Action', 'Science Fiction', 'Thriller']"
6.052479,250000000,0,5,28042,746000000,131.0,2014.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
5.947136,40000000,1,5,22194,463360063,89.0,2014.0,"['Action', 'Science Fiction']"
5.787396,125000000,0,2,9180,477200000,101.0,2014.0,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']"
5.701683,40000000,0,5,5750,126069509,97.0,2014.0,['Comedy']
5.522641,8500000,0,1,14609,38697217,117.0,2014.0,"['Crime', 'Drama', 'Thriller']"
4.983782,210000000,0,5,10805,245500000,165.0,2014.0,"['Science Fiction', 'Action', 'Adventure']"
4.93082,30000000,2,2,19614,174600318,99.0,2014.0,"['Comedy', 'Drama']"
4.780419,3300000,1,1,18976,13993093,105.0,2014.0,"['Drama', 'Music']"
4.452507,170000000,0,5,18375,708200000,130.0,2014.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
4.145209,55000000,2,1,14700,192330738,132.0,2014.0,"['Thriller', 'Action', 'Crime']"
4.105685,42000000,2,4,6198,106645357,108.0,2014.0,['Comedy']
4.101979,200000000,2,3,16878,705717432,142.0,2014.0,"['Action', 'Adventure', 'Fantasy']"
3.990452,178000000,0,5,22869,370541256,113.0,2014.0,"['Action', 'Science Fiction']"
3.989231,44000000,0,4,9942,11305175,112.0,2014.0,"['Action', 'Comedy']"
3.863074,58800000,0,4,21028,542307423,134.0,2014.0,"['War', 'Action']"
3.81374,140000000,1,4,6885,268031828,153.0,2014.0,"['Adventure', 'Drama', 'Action']"
3.689601,160000000,1,5,13014,529076069,123.0,2014.0,"['Action', 'Science Fiction', 'Thriller']"
3.582315,180000000,1,5,20496,758410378,97.0,2014.0,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']"
3.573028,15000000,0,2,2886,32556119,108.0,2014.0,"['Crime', 'Action', 'Thriller']"
3.489314,5000000,0,1,2276,102529779,89.0,2014.0,['Horror']
3.489106,145000000,2,5,15064,609123048,102.0,2014.0,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy']"
3.393741,2000000,0,2,6018,13500000,100.0,2014.0,"['Thriller', 'Horror']"
3.34625,90000000,0,2,7650,206172544,127.0,2014.0,"['Action', 'Adventure', 'Thriller']"
3.327799,60000000,0,2,15876,469160692,100.0,2014.0,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Action']"
3.260581,95000000,3,4,3375,114178613,102.0,2014.0,"['Adventure', 'Fantasy']"
3.170271,15000000,1,4,13720,121201940,123.0,2014.0,"['Drama', 'Romance']"
3.14993,17000000,0,2,5472,136621271,104.0,2014.0,['Comedy']
3.028769,70000000,0,1,9996,215529201,92.0,2014.0,"['Horror', 'Action', 'Drama', 'Fantasy', 'War']"
3.007018,132000000,0,4,5634,373552094,92.0,2014.0,"['Family', 'Animation', 'Adventure', 'Comedy']"
2.996038,50000000,3,4,5475,212902372,125.0,2014.0,"['Fantasy', 'Comedy', 'Music']"
2.979181,110000000,0,3,9984,337580051,102.0,2014.0,"['Action', 'War']"
2.881991,25000000,4,2,6906,66980456,94.0,2014.0,"['Drama', 'Science Fiction']"
2.805019,50000000,0,5,16912,188441614,112.0,2014.0,"['Crime', 'Comedy', 'Action']"
2.777996,28000000,0,1,4938,53181600,113.0,2014.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
2.721864,55000000,1,4,4242,259207227,95.0,2014.0,['Comedy']
2.692691,7000000,0,1,1530,2360281,102.0,2014.0,['Drama']
2.67235,11000000,0,5,6062,45967935,115.0,2014.0,['Comedy']
2.611251,9000000,0,5,6756,108782847,104.0,2014.0,"['Horror', 'Thriller']"
2.601775,16000000,1,1,759,19682924,110.0,2014.0,"['Thriller', 'Action', 'Science Fiction']"
2.595951,4000000,1,5,9401,44349000,164.0,2014.0,['Drama']
2.576396,20000000,0,4,2304,12007070,125.0,2014.0,"['Action', 'Thriller', 'Crime', 'Drama']"
2.549403,100000000,0,5,6075,243400000,99.0,2014.0,"['Action', 'Adventure']"
2.526779,125000000,3,3,7945,362637473,139.0,2014.0,"['Drama', 'Adventure']"
2.523101,50000000,1,1,6818,83719388,141.0,2014.0,['Drama']
2.445165,40000000,0,5,4320,123494610,117.0,2014.0,['Comedy']
2.376309,18000000,0,5,10974,268157400,96.0,2014.0,['Comedy']
2.361267,11000000,0,2,5992,78874843,106.0,2014.0,['Drama']
2.303556,45000000,0,5,2526,86165646,112.0,2014.0,"['Romance', 'Drama', 'Music']"
2.293859,12000000,0,5,16723,305151265,125.0,2014.0,"['Romance', 'Drama']"
2.165462,25000000,0,2,3804,153997819,99.0,2014.0,"['Action', 'Comedy']"
2.160156,20000000,1,4,3312,11110975,148.0,2014.0,"['Comedy', 'Romance', 'Crime', 'Drama', 'Mystery']"
2.141491,60000000,0,2,4365,50549107,105.0,2014.0,"['Action', 'Drama', 'Thriller']"
2.136758,50000000,1,2,9888,222809600,106.0,2014.0,"['Action', 'Thriller', 'Mystery']"
2.116264,5500000,0,2,7952,3000000,97.0,2014.0,"['Science Fiction', 'Thriller']"
1.957672,12600000,0,1,3498,18658381,106.0,2014.0,"['Drama', 'Crime']"
1.940735,120000000,1,2,8545,239379423,102.0,2014.0,"['Science Fiction', 'Action']"
1.904422,100000000,1,3,7775,103039258,119.0,2014.0,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']"
1.900038,40000000,0,3,6336,196781193,109.0,2014.0,"['Comedy', 'Romance']"
1.894706,145000000,1,2,3552,272912430,92.0,2014.0,"['Animation', 'Adventure', 'Family']"
1.840817,65000000,0,2,5142,39407616,102.0,2014.0,"['Crime', 'Thriller']"
1.811692,103000000,2,3,3954,500188435,102.0,2014.0,"['Animation', 'Adventure', 'Comedy', 'Family']"
1.805954,40000000,0,4,3950,169837010,110.0,2014.0,['Comedy']
1.779861,70000000,3,2,5415,154984035,118.0,2014.0,"['War', 'Drama', 'History', 'Action']"
1.769987,65000000,0,4,6867,163442937,137.0,2014.0,"['Drama', 'War']"
1.754707,20000000,0,4,4060,66787908,127.0,2014.0,"['History', 'Drama']"
1.737699,4900000,0,5,3112,3494070,138.0,2014.0,['Drama']
1.649321,15000000,1,4,4062,52501541,115.0,2014.0,['Drama']
1.638781,130000000,0,2,4185,117831631,105.0,2014.0,"['Action', 'Adventure', 'History', 'Romance', 'Drama']"
1.63015,26000000,0,1,3745,35926213,117.0,2014.0,"['Drama', 'Romance']"
1.58801,65000000,1,4,1986,133821816,119.0,2014.0,"['Music', 'Comedy', 'Drama', 'Family']"
